route_id,route_number,direction,route_name,stop_sequence,published_stop_name,canonical_candidate,bqs_match,reconciliation_status,source,source_page
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),1,BHUBANESWAR RLY. STN.,BHUBANESWAR RLY. STN.,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),2,MASTER CANTEEN,Master canteen,Master canteen,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),3,SRIYA SQUARE,Sriya Square,Sriya Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),4,RAM MANDIR,RAM MANDIR,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),5,EXHIBITION GROUND,EXHIBITION GROUND,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),6,HOUSING BOARD SQUARE,Housing Board Square,Housing Board Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),7,AG COLONY,AG Colony,AG Colony,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),8,SHASTRI NAGAR SQUARE,Shastri Nagar,Shastri Nagar,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),9,THE WORLD,The World,The World,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),10,KALINGA STADIUM GATE- 2,Kalinga Stadium Gate 2,Kalinga Stadium Gate 2,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),11,KALINGA STADIUM GATE- 8,Kalinga Stadium Gate 8,Kalinga Stadium Gate 8,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),12,JAYDEV VIHAR SQUARE,Jaydev Vihar Square,Jaydev Vihar Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
AMA-12,12,UNSPECIFIED_IN_SOURCE,Bhubaneswar Railway Station ↔ Nandankanan (via Jaydev Vihar),13,PAL HEIGHTS,PAL HEIGHTS,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,
