candidate_stop_key,published_name,canonical_name,latitude,longitude,coordinate_status,bqs_match,reconciliation_status,source,verification_date
AMA-CAND-0001,BHUBANESWAR RLY. STN.,BHUBANESWAR RLY. STN.,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0002,MASTER CANTEEN,Master canteen,,,unresolved,Master canteen,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0003,SRIYA SQUARE,Sriya Square,,,unresolved,Sriya Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0004,RAM MANDIR,RAM MANDIR,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0005,EXHIBITION GROUND,EXHIBITION GROUND,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0006,HOUSING BOARD SQUARE,Housing Board Square,,,unresolved,Housing Board Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0007,AG COLONY,AG Colony,,,unresolved,AG Colony,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0008,SHASTRI NAGAR SQUARE,Shastri Nagar,,,unresolved,Shastri Nagar,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0009,THE WORLD,The World,,,unresolved,The World,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0010,KALINGA STADIUM GATE- 2,Kalinga Stadium Gate 2,,,unresolved,Kalinga Stadium Gate 2,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0011,KALINGA STADIUM GATE- 8,Kalinga Stadium Gate 8,,,unresolved,Kalinga Stadium Gate 8,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0012,JAYDEV VIHAR SQUARE,Jaydev Vihar Square,,,unresolved,Jaydev Vihar Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0013,PAL HEIGHTS,PAL HEIGHTS,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0014,MAYFAIR ROAD,Mayfair Square,,,unresolved,Mayfair Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0015,JANATA MAIDAN,Janata Maidan,,,unresolved,Janata Maidan,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0016,XAVIER SQUARE,Xavier Square,,,unresolved,Xavier Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0017,FORTUNE TOWER,FORTUNE TOWER,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0018,KALINGA HOSPITAL SQUARE,Kalinga Hospital Square,,,unresolved,Kalinga Hospital Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0019,RAIL SADAN,RAIL SADAN,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0020,OMFED SQUARE,Omfed Square,,,unresolved,Omfed Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0021,NILADRI VIHAR SQUARE,Niladri Vihar Square,,,unresolved,Niladri Vihar Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0022,DAMANA SQUARE,Damana Square,,,unresolved,Damana Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0023,CHANDRASHEKHARPUR P.S.,CS Pur Police Stn.,,,unresolved,CS Pur Police Stn.,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0024,PATIA SQUARE,Patia Square,,,unresolved,Patia Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0025,KOEL CAMPUS,Koel campus,,,unresolved,Koel campus,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0026,KANAN VIHAR PHASE- 2,KANAN VIHAR PHASE- 2,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0027,KIIT SQUARE,KIIT Square,,,unresolved,KIIT Square,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0028,SIKHARCHANDI VIHAR,Shikharchandi Vihar,,,unresolved,Shikharchandi Vihar,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0029,NANDAN VIHAR,Nandan Vihar,,,unresolved,Nandan Vihar,BQS_MATCH_NORMALIZED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0030,MANI TRIBHUVAN,MANI TRIBHUVAN,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0031,ROYAL LAGOON,ROYAL LAGOON,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0032,RAGHUNATHPUR,RAGHUNATHPUR,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0033,RAGHUNATHPUR VILLAGE,RAGHUNATHPUR VILLAGE,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0034,DULADEI TEMPLE,DULADEI TEMPLE,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0035,NANDANKANAN HIGH SCHOOL,NANDANKANAN HIGH SCHOOL,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
AMA-CAND-0036,NANDANKANAN,NANDANKANAN,,,unresolved,,NEW_NON_BQS_OR_UNRESOLVED,https://smarteduguide.com/wp-content/uploads/2026/07/MO-BUS-Bhubaneswar-Routes-and-Numbers.html,2026-08-17
