region,route_number,direction,stop_count
Berhampur,300,PUBLISHED_SEQUENCE,45
Berhampur,301,PUBLISHED_SEQUENCE,40
Berhampur,302,DOWN,45
Berhampur,302,UP,31
Berhampur,303,PUBLISHED_SEQUENCE,47
Berhampur,304,DOWN,54
Berhampur,304,UP,40
Berhampur,305,PUBLISHED_SEQUENCE,49
Berhampur,306,PUBLISHED_SEQUENCE,48
Berhampur,308,DOWN,18
Berhampur,308,UP,20
Berhampur,309,DOWN,42
Berhampur,309,UP,41
Keonjhar,400,PUBLISHED_SEQUENCE,33
Keonjhar,401,PUBLISHED_SEQUENCE,18
Keonjhar,402,PUBLISHED_SEQUENCE,18
Keonjhar,403,PUBLISHED_SEQUENCE,22
Keonjhar,404,PUBLISHED_SEQUENCE,11
Keonjhar,405,PUBLISHED_SEQUENCE,26
