region,published_stop_name,canonical_candidate,stop_id,latitude,longitude,coordinate_status,identity_status,verification_date
Berhampur,DUDUMA COLONY NEW BUS STAND,DUDUMA COLONY NEW BUS STAND,REG-0001,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,FIRST GATE,FIRST GATE,REG-0002,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,HARIDAKHANDI CHAKA,HARIDAKHANDI CHAKA,REG-0003,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KATHA MANTU CHAKA,KATHA MANTU CHAKA,REG-0004,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GANESH NAGAR,GANESH NAGAR,REG-0005,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,MENTU CHAKA,MENTU CHAKA,REG-0006,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,RAJA RANI APARTMENT,RAJA RANI APARTMENT,REG-0007,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,AMBA MARKET,AMBA MARKET,REG-0008,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,HOUSING BOARD COLONY,HOUSING BOARD COLONY,REG-0009,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SHIVASHAKIT HALL,SHIVASHAKIT HALL,REG-0010,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,PREM NAGAR SQUARE,PREM NAGAR SQUARE,REG-0011,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,REGISTER OFFICE,REGISTER OFFICE,REG-0012,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,MAHATMA GANDHI STADIUM,MAHATMA GANDHI STADIUM,REG-0013,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GANDHI NAGAR,GANDHI NAGAR,REG-0014,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CONGRESS BHABAN,CONGRESS BHABAN,REG-0015,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KHALLIKOTE COLLEGE,KHALLIKOTE COLLEGE,REG-0016,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CHURCH SQUARE,CHURCH SQUARE,REG-0017,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BIJIPUR SQUARE,BIJIPUR SQUARE,REG-0018,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BERHAMPUR RAILWAY STATION,BERHAMPUR RAILWAY STATION,REG-0019,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOSANINUGAA SANTOSHI TEMPLE,GOSANINUGAA SANTOSHI TEMPLE,REG-0020,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BIJIPUR STATE BANK,BIJIPUR STATE BANK,REG-0021,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOKUL DHAAM,GOKUL DHAAM,REG-0022,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOSANINUGAA POLICE STATION,GOSANINUGAA POLICE STATION,REG-0023,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,UTARESWARA TEMPLE,UTARESWARA TEMPLE,REG-0024,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,RAJ DHOBA STREET,RAJ DHOBA STREET,REG-0025,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ANDHPASARA SQUARE,ANDHPASARA SQUARE,REG-0026,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,NALINI NAGAR,NALINI NAGAR,REG-0027,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,HALDIAPADAR OVER BRIDGE,HALDIAPADAR OVER BRIDGE,REG-0028,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,HALDIAPADAR VILLAGE,HALDIAPADAR VILLAGE,REG-0029,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,HALDIAPADAR NEW BUS STAND,HALDIAPADAR NEW BUS STAND,REG-0030,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,MADANMOHANPUR,MADANMOHANPUR,REG-0031,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SIHNALA ROAD,SIHNALA ROAD,REG-0032,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KANISI HATA,KANISI HATA,REG-0033,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KANISI VILLAGE,KANISI VILLAGE,REG-0034,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,AMIT HOSPITAL,AMIT HOSPITAL,REG-0035,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,RANDHA CHOWK,RANDHA CHOWK,REG-0036,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GANDHI COLLEGE,GANDHI COLLEGE,REG-0037,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ISANESWAR TEMPLE,ISANESWAR TEMPLE,REG-0038,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOLANTHRA VILLAGE,GOLANTHRA VILLAGE,REG-0039,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BHAIRAVI CHATTI,BHAIRAVI CHATTI,REG-0040,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOVIND NAGAR,GOVIND NAGAR,REG-0041,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,NIST COLLEGE,NIST COLLEGE,REG-0042,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,TATA BENZ SQUARE,TATA BENZ SQUARE,REG-0043,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KAMAPALLI,KAMAPALLI,REG-0044,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,COURTPETA SQUARE,COURTPETA SQUARE,REG-0045,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,MKCG STATE BANK,MKCG STATE BANK,REG-0046,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,MKCG MEDICAL COLLEGE SQUARE,MKCG MEDICAL COLLEGE SQUARE,REG-0047,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GAJAPATI NAGAR,GAJAPATI NAGAR,REG-0048,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,JAYAPRAKASH NAGAR,JAYAPRAKASH NAGAR,REG-0049,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
