bqs_index,published_name,latitude,longitude,coordinate_status,source,verification_date
1,Governor House Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
2,Power House Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
3,Nautala,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
4,Shastri Nagar,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
5,The World,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
6,Kalinga Stadium Gate 2,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
7,Kalinga Stadium Gate 8,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
8,Jaydev Vihar Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
9,Mayfair Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
10,Janata Maidan,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
11,Xavier Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
12,Kalinga Hospital Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
13,Omfed Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
14,Niladri Vihar Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
15,Damana Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
16,CS Pur Police Stn.,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
17,Patia Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
18,Koel campus,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
19,KIIT Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
20,Shikharchandi Vihar,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
21,Nandan Vihar,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
22,Press Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
23,Sainik School Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
24,Apollo Hospital,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
25,Aacharya Vihar Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
26,Ananda bazaar,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
27,Nico Park,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
28,Rotary Bhawan,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
29,Housing Board Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
30,Keshari talkies,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
31,Rabindra Mandap,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
32,I.G. Park,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
33,Secretariat,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
34,AG Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
35,Capital Hospital,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
36,New Airport Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
37,Unit 6,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
38,Ganganagar Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
39,Fire Station Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
40,Vivekanand Hospital,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
41,CRPF Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
42,Passport Office,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
43,Unit-VIII Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
44,Kalyani Market,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
45,Siripur Market,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
