published_name,bqs_status,canonical_stop_id,current_march_2026_match,notes
Governor House Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Power House Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Nautala,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Shastri Nagar,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
The World,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Kalinga Stadium Gate 2,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Kalinga Stadium Gate 8,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Jaydev Vihar Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Mayfair Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Janata Maidan,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Xavier Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Kalinga Hospital Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Omfed Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Niladri Vihar Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Damana Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
CS Pur Police Stn.,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Patia Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Koel campus,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
KIIT Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Shikharchandi Vihar,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Nandan Vihar,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
